VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,4/30/2020,Invoice 8744381 - PO 050120Flow,IR-0133,Item Receipt #IR-0133,ItemRcpt,-128,
,Accrued Purchases,4/23/2020,042020APMOL,IR-0114,Item Receipt #IR-0114,ItemRcpt,-281.82,
,Accrued Purchases,5/27/2020,052120APCyto,IR-0166,Item Receipt #IR-0166,ItemRcpt,-1281.36,
,Accrued Purchases,5/13/2020,IR-0134 - 051220MOL - tracking A01338731 - received from RD 05/20/2020,9174595,Bill #9174595,VendBill,-534.46,
,Accrued Purchases,5/22/2020,PO 052120APCYTO,9540699,Bill #9540699,VendBill,-1370.2,
,Accrued Purchases,5/1/2020,041320MOL,IR-0138,Item Receipt #IR-0138,ItemRcpt,-118.5,
,Accrued Purchases,4/22/2020,042020APMOL,IR-0109,Item Receipt #IR-0109,ItemRcpt,-49.93,
,Accrued Purchases,4/10/2020,PO 032720MOL-received from scanned  on 04/21/2020,7201651,Bill #7201651,VendBill,-126.35,
,Accrued Purchases,4/14/2020,032720MOL,IR-0104,Item Receipt #IR-0104,ItemRcpt,-158,
,Accrued Purchases,5/13/2020,051220MOL,IR-0147,Item Receipt #IR-0147,ItemRcpt,-502.64,
,Accrued Purchases,6/15/2020,PO 061220CYTO,0783705,Bill #0783705,VendBill,-302.18,
,Accrued Purchases,6/16/2020,PO 061120CYTO,0874445,Bill #0874445,VendBill,-717.21,
,Accrued Purchases,6/12/2020,PO 061220CYTO,0684342,Bill #0684342,VendBill,-2147.57,
,Accrued Purchases,6/9/2020,061120Flow,IR-0203,Item Receipt #IR-0203,ItemRcpt,-409.4,
,Accrued Purchases,6/17/2020,061120MOL,IR-0240,Item Receipt #IR-0240,ItemRcpt,-451.25,
,Accrued Purchases,6/17/2020,061120Cyto,IR-0220,Item Receipt #IR-0220,ItemRcpt,-2660.58,
,Accrued Purchases,6/16/2020,061220Cyto,IR-0221,Item Receipt #IR-0221,ItemRcpt,-257.2,
,Accrued Purchases,6/30/2020,062420AP,IR-0282,Item Receipt #IR-0282,ItemRcpt,-1133.44,
,Accrued Purchases,6/26/2020,IR-0282 - PO 062420AP,1790121,Bill #1790121,VendBill,-1208.53,
,Accrued Purchases,6/25/2020,PO 062420AP,1629853,Bill #1629853,VendBill,-500.42,
,Accrued Purchases,5/15/2020,051220MOL,IR-0253,Item Receipt #IR-0253,ItemRcpt,-474,
,Accrued Purchases,6/23/2020,062220Flow,IR-0294,Item Receipt #IR-0294,ItemRcpt,-188.2,
,Accrued Purchases,6/26/2020,062420AP,IR-0259,Item Receipt #IR-0259,ItemRcpt,-454.37,
,Accrued Purchases,6/15/2020,PO 052120APCYTO - received from RD on 06/25/2020,0783704,Bill #0783704,VendBill,-299.03,
